context
"Filename: TG Booklet 6, Paragraph(s) Number: 145, Content: Respond to action thresholds Bacterial Meningitis﷐Epidemic threshold:For populations between 30 000 and 100,000*: an attack rate of 10 cases per 100 000 inhabitants per week. For populations less than 30 000 inhabitants: 5 cases in 1 week** or the doubling of the number of cases over a 3-week period.*For district populations with more than 100 000 inhabitants, it is recommended to calculate attack rates by sub-districts containing 30 000 to 100 000 inhabitants.**In special situations such as mass gathering of refugees/displaced persons or closed institutions, two confirmed cases in a week should prompt mass vaccination. Respond to epidemic threshold:Mass vaccination within 4 weeks of crossing the epidemic threshold***Mobilize community to permit early case detection, treatment, and improve vaccine coverage during mass vaccination campaigns for outbreak control.Continue data collection, transmission and analysis.Maintain regular collection of 5-10 CSF specimens per week throughout the epidemic season in all affected districts to detect possible serogroup shift. Distribute treatment to health centresTreat all cases with appropriate antibiotics as recommended by National protocol. ***If a neighbouring area to a population targeted for vaccination is considered to be at risk (cases early in the dry season, no recent relevant vaccination campaign, high population density), it should be included in a vaccination programme.﷐Analyse and interpret data﷐Time:In meningitis belt countries during epidemic season, graph weekly cases and deaths. Otherwise, graph monthly trends in cases and deaths. Construct an epidemic curve for outbreak cases.Place:In epidemics (not in endemic situations), plot location of case households and estimate distance to the nearest health facility.Person: Count total sporadic and outbreak cases. Analyse age distribution. Target case fatality rate: <10%"
"Filename: TG Booklet 6, Paragraph(s) Number: 146, Content: Bacterial Meningitis"
"Filename: TG Booklet 6, Paragraph(s) Number: 147, Content: Laboratory confirmation﷐Diagnostic test﷐Microscopic examination of CSF for Gram negative diplococci Culture and isolation of N. meningitidis, Streptococcus pneumoniae, and Haemophilus influenzae b from CSF or bloodRT-PCR (national reference laboratory)﷐Specimen﷐Cerebrospinal fluid (CSF)Note: CSF is the specimen of choice for culture and microscopic exam. If CSF not available, collect blood (10 ml adults, 1-5 ml for children) for culture.﷐When to collect the specimen﷐Collect specimens from 5 to 10 cases once the alert or epidemic threshold (see “Meningitis” in Section 8.0) has been reached.﷐How to prepare, store, and transport the specimen﷐Prepare the patient and aseptically collect CSF Fill one dry tube (culture) and one cryotube (PCR)If the dry tube cannot arrive within two hours to the laboratory, place 1 ml of CSF into a pre-warmed bottle of trans-isolate medium.Incubate at body temperature (36ºC to 37ºC).Never refrigerate specimens that will be cultured.Keep CSF for microscopic exam and chemistry in the original syringe (replace cap). Refrigerate the capped syringe and send it to the laboratory as soon as possible.﷐Results﷐Isolation of Neisseria meningitidis, Streptococcus pneumoniae, and Haemophilus influenzae b. Neisseria meningitidis is a fastidious organism, is expensive and difficult. It requires excellent techniques for specimen collection and handling and expensive media and antisera.Initial specimens in an outbreak or for singly occurring isolates of N. meningitis or Neisseria meningitidis should be serogrouped and an antibiogram performed to ensure appropriate treatment.Trans isolate medium (TI) is stable. If properly stored at temperature (4ºC) it can be kept for up to two years after preparation. In the refrigerator, the liquid phase turns gelatinous but reliquifies at room temperature. Unused TI bottles should be kept tightly sealed. If there is any colour change (yellowing or clouding of the liquid medium) or drying or shrinkage of the agar slant, the medium should not be used.﷐Reference: Bacterial Meningitis﷐Managing meningitis epidemics in Africa: A quick reference guide for health authorities and health-care workers Revised 2015, WHO/HSE/GAR/ERI/2010.4. Rev.1Weekly Epidemiological Record No 51/52, 577-588, 19 December 2014( http://www.who.int/wer) Meningitis outbreak response in sub-Saharan Africa. WHO guideline, WHO/HSE/PED/CED/14.5Standard Operating Procedures for Surveillance of Meningitis, Preparedness and Response to Epidemics in Africa, WHO document. WHO/AFRO/FRH October 2018, BrazzavilleLaboratory Methods for the diagnosis of Meningitis caused by Neisseria meningitidis, Streptoccus pneumoniae and Heamophilus Influenza. WHO document WHO/CDS/EDC/99.7 WHO, GenevaMeningitis outbreak response in sub-Saharan Africa. WHO guideline, WHO/HSE/PED/CED/14.5Weekly Epidemiological Record No 51/52, 577-588, 19 December 2014 ( http://www.who.int/wer)Standard Operating Procedures for Surveillance of Meningitis, Preparedness and Response to Epidemics in Africa, WHO document. WHO/AFRO/FRH October 2018, BrazzavilleManaging meningitis epidemics in Africa: A quick reference guide for health authorities and health-care workers Revised 2015, WHO/HSE/GAR/ERI/2010.4. Rev.1Standard Operating Procedures for Surveillance of Meningitis, Preparedness and Response to Epidemics in Africa, WHO document. WHO/AFRO/FRH October 2018, Brazzaville"
"Filename: TG Booklet 6, Paragraph(s) Number: 148, Content: Buruli ulcer (BU) (Mycobacterium ulcerans disease)"
"Filename: TG Booklet 6, Paragraph(s) Number: 149, Content: Background﷐Skin infection caused by Mycobacterium ulcerans (an acid fast bacilli (AFB))Occurring mainly as skin lesions (nodules, plaques and ulcers) than can be complicated by bone and joint involvement. Involvement of other organs like the eyes is rareSpreading in inter-tropical areas, in swampy soils or water body surroundings, forestry or surface mining zonesPatients are classified into three categories:Category I: patient with a single lesion which size is less than 5 cm of diameter (early lesion)Category II: patient with single lesion which size is between 5 and 15 cm of diameterCategory III: patient single lesion which size is over 15 cm of diameter or with multiple lesions or lesion located in critical site (face, head & neck, breast, perineum, genitalia, lesion spanning over joints)BU case management has improved greatly through use of WHO recommended antibiotics (rifampicin and streptomycin) in 2004. Since 2017, full oral combined antibiotics (rifampicin and clarithromycin) are now recommended for treatment of cases with wound care of ulcers. Surgery is still needed for late cases (category III). Cumulative number of cases in the WHO African Region that is the most affected (95% of global cases) is around 90,000 in 2017.Mode of transmission is still unknown. M ulcerans could penetrate the skin through insect bite (water bugs); micro trauma or small woundsConfirmation of diagnosis is done by PCR, AFB search with Ziehl-Neelsen (ZN) staining, culture or histology. Specimens of lesions are taken by swab in ulcer, fine needle aspiration (FNA) or biopsy in case of surgery. New diagnostic tests based of the presence of mycolactone, a toxin released by M ulcerans in lesions, are under development.﷐Surveillance goal﷐Geographical distribution of the disease to locate endemic areas and districts and focus early case finding, proper management with WHO recommended antibiotics and prevention of disabilities﷐Standard case definition﷐Suspected case: A person presenting a painless skin nodule, plaque or ulcer, living or having visited a BU endemic areaConfirmed case: A suspected case confirmed by at least one laboratory test (ZN for AFB, PCR, culture or histology). Confirmation of presence of mycolactone in skin lesions"
"Filename: TG Booklet 6, Paragraph(s) Number: 150, Content:  Respond to alert threshold﷐ If  a single case is suspected:Report the suspected case to the appropriate level of the health system at health facility levelTake a specimen for laboratory confirmation (swab or FNA)Begin wound dressing and combined antibiotic treatment with: Rifampicin 10 mg/kg daily oral intake for 8 weeks (56 days). Clarithromycin 7.5 mg/kg twice daily oral intake for 8 weeks (56 days)Refer category III patients to reference hospital/centreFill in case report form (BU 01 or BU 02) with origin village GPS data and report to Health District, Regional and National levelsSearch other cases in origin village of confirmed case of BU﷐Respond to action threshold﷐Not applicable to BU﷐Analyse and interpret data﷐Time:Graph of cases by year of diagnosis, graph of cumulative number of cases.Place:Plot cases by location of households and colour shade endemic districtsPerson:  Count newly detected cases monthly by category of patients (Cat I, II or III). Analyse age and disability distribution and treatment outcomes (cases cured, cured without limitation of movement or amputation, relapse after recommended antibiotic treatment)."
"Filename: TG Booklet 6, Paragraph(s) Number: 151, Content: Buruli ulcer (Mycobacterium ulcerans disease)"
"Filename: TG Booklet 6, Paragraph(s) Number: 152, Content: Laboratory Confirmation﷐Diagnostic test﷐Mycobacterium ulcerans: Smears and biopsy specimens can be sent to the laboratory for confirmation by:Ziehl-Neelsen stain for acid-fast bacilliCulturePCRHistopathologyMycolactone detection in lesion (new)﷐Specimen﷐SmearsFine needle aspirations (FNAs)Biopsy specimens﷐When to collect the specimen﷐Specimens should be collected from suspected patient with clinical symptoms (nodule, plaque, ulcer, osteomyelitis ...)Specimen should be collected before any antibiotic is given. Another specimen should be collected at the end of the treatment (in case the treatment is not efficacious or surgery is indicated)﷐How to prepare, store, and transport the specimen﷐Collection of specimen: it is important to avoid cross contamination between the collection of samplesMaterials: Dry swabs and recipients.Types of specimens: No ulcerative forms, ulcerative forms, bone: Store at 4°C﷐Results﷐Buruli ulcer is usually diagnosed clinically and by finding acid fast bacilli (AFB) in smears from infected ulcers and tissue biopsies. It can also be identified using PCR.M ulcerans can be cultured in a reference laboratory using the same culture media used to grow M. tuberculosis.The organism grows very slowly, usually requiring several weeks to provide visible colonies.Diagnostic services are not routinely available. Contact the appropriate National authority or WHO."
"Filename: TG Booklet 6, Paragraph(s) Number: 153, Content: References: BU﷐Resolution WHA 57.1 on surveillance and control of Mycobacterium ulcerans disease (Buruli ulcer). In: 57th World Health Assembly, Geneva, 17-22 May 2004; Resolutions and decisions, annexes. Geneva, WHO; 2004 (WHA57/2004/REC/1: 1-2)Provisional guidance on the role of specific antibiotics in the management of Mycobacterium ulcerans disease (Buruli ulcer) WHO/CDS/CPE/GBUI/2004.10Buruli ulcer: First programme review meeting for West Africa – Summary report. WHO, WER, 6; 2009 : 43-48Control of Communicable Diseases Manual, 18th EditionDistrict Laboratory Practice in Tropical Countries, CambridgeUlcere de Buruli, prise en charge de l’infection a Mycobacterium ulcerans"
"Filename: TG Booklet 6, Paragraph(s) Number: 154, Content: Chikungunya"
"Filename: TG Booklet 6, Paragraph(s) Number: 155, Content:  Background﷐Chikungunya fever is a viral illness that is spread by the bite of infected mosquitoes. The disease resembles dengue fever, and is characterized by severe, sometimes persistent, joint pain (arthritis), as well as fever and rash. It is rarely life-threatening. Nevertheless, widespread occurrence of diseases causes substantial morbidity and economic loss.The word ""Chikungunya"" is Makonde for ""that which bends up,"" in reference to the stooped posture of patients afflicted with the severe joint pain associated with the disease. Epidemics of fever, rash and arthritis, resembling Chikungunya fever were recorded as early as 1779. However, the virus was first isolated between 1952-1953 from both man and mosquitoes during an epidemic in Tanzania.Chikungunya historically displayed interesting epidemiological profiles in that: major epidemics appeared and disappeared cyclically, usually with an inter-epidemic period of 7-8 years and sometimes as long as 20 years. After a long period of absence, outbreaks appeared in Indonesia in 1999 and have been virtually ongoing since 2004.﷐Surveillance goal﷐ Detect Chikungunya sporadic cases and outbreaks early, and seek laboratory verification. Identify high risk areas in order to improve prevention of outbreaks by taking steps to avoid mosquito bites and elimination of breeding sites.﷐Standard case definition﷐Acute clinical caseClinical criterion: Fever >38.50 C (101.30F) and joint pain a (usually incapacitating b) with acute onset      AND Epidemiological criterion: resident or visitor in areas with local transmission of Chikungunya on the last 15 days (suspected case for epidemiological surveillance)    ORLaboratory criterion: confirmation by laboratory: PCR, serology or viral culture (confirmed case for epidemiological surveillance)Atypical caseClinical case of laboratory confirmed Chikungunya accompanied by other manifestations: neurological, cardiological, dermatological, ophthalmological, hepatic, renal, respiratory, or haematological, among others.Severe acute caseClinical case of laboratory-confirmed chikungunya presenting dysfunction of at least one organ or system that threatens life and requires hospitalizationSuspected and confirmed chronic casesSuspect chronic case: Person with previous clinical diagnosis of chikungunya after 12 weeks of the onset of the symptoms presenting with at least one of the following articular manifestations: pain, rigidity, or edema, continuously or recurrently.  Confirmed chronic case: Every chronic case with a positive chikungunya laboratory test   a Usually accompanied by exanthema, myalgia, back pain, headache and, occasionally, vomiting and diarrhoea (pediatric age       group).  b In children aged <3 years, joint pain is expressed as inconsolable crying, irritability, rejection to mobilization and/or walking.﷐ Respond to alert threshold﷐If Chikungunya cases are suspected:Report case-based information immediately to the next levelCollect specimens for confirming the casesConduct an investigation to determine the risk factors for transmissionManage and treat the cases using acetaminophen or paracetamol to relieve fever and non-steroidal anti- inflammatory agents﷐Respond to action threshold﷐If Chikungunya cases are confirmedSymptomatic treatment for mitigating pain and fever using non-steroidal anti-inflammatory drugs along with rest usually suffices. Persistent joint pain may require analgesic and long-term anti-inflammatory therapy.Prevention is entirely dependent upon taking steps to avoid mosquito bites and elimination of mosquito breeding sites.To avoid mosquito bites:Wear full sleeve clothes and long dresses to cover the limbsUse mosquito repellentsUse mosquito nets – to protect babies, old people and others, who may rest during the day. The effectiveness of such nets can be improved by treating them with permethrin (pyrethroid insecticide). Curtains (cloth or bamboo) can also be treated with insecticide and hung at windows or doorways, to repel or kill mosquitoesMosquitoes become infected when they bite people who are infected with Chikungunya. Mosquito nets and mosquito coils and repellents will help prevent mosquitoes from biting people﷐Analyse and interpret data﷐Time:Graph cases and deaths weekly. Construct an epidemic curve during outbreaks.Place:Plot location of case households with precise mapping.Person:Report immediate case-based information for cases and deaths. Report summary totals monthly.  During outbreak, count cases and deaths weekly. Analyse by age. Assess risk factors to improve     prevention of outbreaks.﷐Laboratory confirmation: Chikungunya﷐Diagnostic test﷐Serological tests show a four-fold rise in antibody titer to Chikungunya virus; the virus may be isolated from the blood of acutely ill patients in newborn mice, mosquitoes or cell culture or detected using IFA or Reverse Transcription Polymerase Chain Reaction (RT-PCR)﷐Specimen﷐Serum﷐When to collect the specimen﷐Collect specimen from the first suspected case (s). Suspected CHIK cases occur in clusters.Collect representative specimens from suspected cases. If outbreak is confirmed, collect more specimens from cases and also mosquitoes from the affected homes for testing.Type of Specimen:-Acute-phase blood (0-10 days after onset)-Convalescent-phase blood (7 - 21 days after onset)Time of collection:When patient presents; collect second sample during convalescence. Between days 7 and 21 after onset.﷐How to prepare,store, and transport the specimen﷐Transport of specimens should comply with the WHO guidelines for the safe transport of infectious substances and diagnostic specimens (WHO, 1997).For ELISA:Refrigerate at 2º to 8º C serum or clot for testing within 24 hour. If kept for longer store at -80ºC.For virus isolation and RT_PCRStore frozen at -20ºC for short-term storage or at -70ºC or transport in fully charged dry shipper.Mosquitoes for testing should be transported in fully charged dry shipper. Focus onAedes species﷐Results﷐Diagnostic services for Chikungunya are not routinely available. Contact the appropriate National authority or WHO. Ministry of Health, Disease Outbreak Management Unit should send samples to WHO reference labs e.g. KEMRIPreliminary results are ready within 24 hours after samples arrive in the laboratory.Confirmatory results are ready within a week from sample reception."
"Filename: TG Booklet 6, Paragraph(s) Number: 156, Content: Reference: Chikungunya﷐Weekly Epidemiological Record N° 1, 2005, 80, 1-8; http//www.who.int/werWorld Health Organization http://www.who.int/mediacentre/factsheets/fs327/en/United States, Centers for Disease Control http://www.cdc.gov/ncidod/dvbid/chikungunya/Sergon et al Seroprevalence of Chikungunya Virus (CHIKV) Infection on Lamu Island, Kenya, October 2004. Am J Trop Med Hyg. 2008 Feb;78(2):333-337Powers et al. Evolutionary relationships and systematics of the alphaviruses. J Virol. 2001 Nov;75(21):10118-31"
"Filename: TG Booklet 6, Paragraph(s) Number: 157, Content: Cholera"
"Filename: TG Booklet 6, Paragraph(s) Number: 158, Content: Background﷐Acute illness with profuse watery diarrhoea caused by Vibrio cholerae serogroups O1 or O139. The disease is transmitted mainly through the faecal-oral route; that is through eating or drinking contaminated food or water.Cholera causes over 100 000 deaths per year. It may produce rapidly progressive epidemics or worldwide pandemics. In endemic areas, sporadic cases (less than 5% of all non-outbreak-related diarrhoea cases) and small outbreaks may occur.Incubation period is from a few hours to 5 days, usually in the range of from 2 to 3 days.There has been a resurgence of cholera in Africa since the mid-1980s, where over 80% of the world’s cases occurred in 1999. The majority of cases occurred from January through April. In 2016, globally, 38 countries reported a total of 132 121 cases. Of cases reported globally, 54% were from Africa, 13% from Asia and 32% from Hispaniola. Imported cases were reported in 9 countries.Cholera may cause severe dehydration in only a few hours. In untreated patients with severe dehydration, the case fatality rate (CFR) may exceed 50%. If patients present at the health facility and correct treatment is received, the CFR is usually less than 1%. At least 90% of the cases are mild, and they remain undiagnosed.Risk factors: eating or drinking contaminated foods such as uncooked seafood or shellfish from estuarine waters, lack of continuous access to safe water and food supplies, attending large gatherings of people including ceremonies such as weddings or funerals, contact with persons who died of cholera.Other enteric diarrhoea may cause watery diarrhoea, especially in children less than 5 years of age. Please see Diarrhoea with dehydration summary guidelines.﷐Surveillance goal﷐Detect and respond promptly and appropriately to cases and outbreaks of watery diarrhoea. To confirm an outbreak, collect and transport stool specimens transported in Cary-Blair medium.Do immediate case-based reporting of cases and deaths when an outbreak is suspected."
"Filename: TG Booklet 6, Paragraph(s) Number: 159, Content:  Standard case definition: Cholera﷐ Suspected cholera case: In areas where a cholera outbreak has not been declared: Any patient aged two   years and older presenting with acute watery diarrhoea and severe dehydration or dying from acute watery   diarrhoea.  Probable cholera case: In areas where a cholera outbreak is declared: any person presenting with or dying  from acute watery diarrhoea.  Confirmed cholera case: A suspected case with Vibrio cholerae O1 or O139 confirmed by culture or PCR polymerase chain  reaction and, in countries where cholera is not present or has been eliminated, the Vibrio cholerae O1 or O139 strain is demonstrated to be toxigenic﷐Respond to alert threshold﷐If a single case is suspected:Report case-based information immediately.Manage and treat the case according to national guidelines.Enhance strict hand-washing and isolation procedures.Conduct case-based investigation to identify similar cases not previously reported.Obtain stool specimen from 5 patients within 5 days of onset of acute watery diarrhoea, and before antibiotic treatment is started. See laboratory guidelines for information on how to prepare, store and transport the specimens.﷐Respond to action threshold﷐If a suspected case of cholera is confirmed:Establish treatment centre in locality where cases occur. Treat cases onsite rather than asking patients to go to standing treatment centres elsewhere.Initiate a line listing of suspected and confirmed cases and ensure laboratory results are linked with casesStrengthen case management including treatment.Mobilize community early to enable rapid case detection and treatment. Survey the availability of clean drinking water.Work with community leaders to limit the number of funerals or other large gatherings for ceremonies or other reasons, especially during an epidemic. If seen mandatory, establish bylawsReduce sporadic and outbreak-related cases through continuous access to safe water. Promote safe preparation of food (especially seafood, fruits, and vegetables). Promote safe disposal of human waste.Ensure adequate collaboration with various sectors including water and sanitation to ensure appropriate interventions are addressedCholera vaccine is available; but its utilization must be accompanied with strategies to improve water and sanitation"
"Filename: TG Booklet 6, Paragraph(s) Number: 160, Content: Analyse and interpret cholera data: Cholera﷐Time:Graph weekly cases and deaths and construct an epidemic curve during outbreaks. Report case-based information immediately and summary information monthly for routine surveillance.Place:Plot the location of case households. Person:Count weekly total cases and deaths for sporadic cases and during outbreaks. Analyse distribution of cases by age and according to sources of drinking water. Assess risk factors to improve control of sporadic cases and outbreaks.﷐Laboratory confirmation: CholeraDiagnostic test: Isolate V. cholerae from stool culture and determine O1 serotype using polyvalent antisera for V. cholerae O1. If desired, confirm identification with Inaba and Ogawa antisera.If specimen is not serotypable, consider, V. cholerae O139 (see note in Results column).﷐Specimen: Liquid stool or rectal swab﷐When to collect the specimen:For each new area affected by the outbreak, a laboratory confirmation should be done. Collect stool sample from the first suspected cholera case. If more than one suspected case, collect until specimens have been collected from 5 to 10 cases. Collect stool from patients fitting the case definition and Onset within last 5 days, and Before antibiotics treatment has startedDo not delay treatment of dehydrated patients. Specimens may be collected after rehydration (ORS or IV therapy) has begun.If possible, specimens should be collected from 5 – 10 suspected cases every 1 – 2 weeks to monitor cessation of the outbreak, changes in serotypes, and antibiotic sensitivity patterns of V.cholerae﷐How to prepare, store, and transport the specimen﷐Place specimen (stool or rectal swab) in a clean, leak proof container and transport to lab within 2 hours.If more than 2- hour delay is expected, place stool-soaked swab into Cary-Blair transport medium.If Cary-Blair transport medium is not available and specimen will not reach the lab within 2 hours: Store at 4°C to 8°CDo not allow specimen to dry. Add small amount of 0.85% NaCl if necessaryTo transport, transport in well-marked, leak proof containerTransport container in cold box at 4ºC to 8ºC﷐Results: cholera laboratory test﷐Cholera tests may not be routinely performed in all laboratories.Culture results usually take 2 to 4 days after specimen arrives at the laboratory.Cary-Blair transport medium is stable and usually good for at least one year after preparation. It does not require refrigeration if kept sterile and in properly sealed container. If colour changes (medium turns yellow) or shrinks (depressed meniscus), do not use the medium.The O139 serotype has not been reported in Africa and only in a few places in southwest Asia.Serological determination of Ogawa or Inaba is not clinically required. It is also not required if polyvalent antisera results are clearly positive.﷐ReferencesGlobal Task Force on Cholera Control. Ending Cholera. A Global Roadmap to 2030. Publication date: 3 October 2017Management of the patient with cholera, World Health Organization, 1992. WHO/CDD/SER/91.15 Rev1 (1992)Epidemic diarrhoeal disease preparedness and response--Training and practice. Facilitator and participant manuals. World Health Organization, 1997. WHO/EMC/DIS/97.3 and WHO/EMC/DIS/97.4Laboratory Methods for the Diagnosis of Epidemic Dysentery and Cholera. CDC/WHO, 1999 CDC, Atlanta, GA, USA"
"Filename: TG Booklet 6, Paragraph(s) Number: 161, Content: Dengue Fever"
"Filename: TG Booklet 6, Paragraph(s) Number: 162, Content: Including Dengue haemorrhagic fever (DHF) and Dengue shock syndrome (DSS)"
"Filename: TG Booklet 6, Paragraph(s) Number: 163, Content: Background﷐﷐Dengue fever is an arbovirus transmitted by aedes mosquitoes (both Ae. aegypti and Ae. albopiticus). Dengue is caused by four serologically distinct, but closely related viruses: dengue virus (DENV) 1, 2, 3, and 4 of the Flaviviridae family.Dengue fever is an emerging pandemic that has spread globally during the past 30 years as a result of changes in human ecology. Dengue is found in tropical and sub-tropical regions around the world, predominately in urban and semi-urban areas. During dengue epidemics, infection rates among those who have not been previously exposed to the virus are often 40% to 50%, but can reach 80% to 90%.Dengue fever is a severe, influenza-like illness that affects infants, young children and adults, but seldom causes death. Dengue haemorrhagic fever (DHF) is a potentially deadly complication that has become a leading cause of hospitalization and death among children in Asia. There is good evidence that sequential infection with the different serotypes of dengue virus increases the risk of more severe disease that can result in dengue shock syndrome (DSS) and death.Epidemic dengue activity in Africa has mostly been classical dengue fever caused by DENV-1 and DENV-2 without associated mortality. The first major outbreak of DENV-3 in Africa was documented in Mozambique in 1984-1985. During this outbreak, most patients experienced secondary infections and 2 deaths were attributed to DHF and shock. In 2008, yellow fever and DENV-3 were found to be co-circulating in Abidjan, Cote d’Ivoire, however, no severe dengue cases or deaths attributable to dengue were identified.There is no specific treatment for dengue, but appropriate medical care frequently saves the lives of patients with dengue haemorrhagic fever.Infected humans are the main carriers and multipliers of the virus, serving a source of the virus for uninfected Aedes aegypti mosquitoes which maintain the urban dengue transmission cycle. The virus circulates in the blood of infected human for 2-7 days, at approximately the same time that they have a fever. A sylvatic transmission cycle has been documented in west Africa where DENV-2 has been found in monkeys. There is no evidence of person-to-person transmission.At present, the only method of controlling or preventing dengue virus transmission is to combat the vector mosquitoes using environmental management and chemical methods.﷐﷐Surveillance goal﷐Surveillance for suspected cases and investigation of clusters of suspected cases in areas with Ae. aegypti and Ae. albopiticus mosquitoes﷐ Standard case definition: Dengue Fever﷐Dengue Fever Suspected case: Any person with acute febrile illness of 2-7 days duration with 2 or more of the following: headache, retro-orbital pain, myalgia, arthralgia, rash, haemorrhagic manifestations, leucopenia.Dengue Fever Confirmed case: A suspected case with laboratory confirmation (positive IgM antibody, four-fold or greater rise in IgG antibody titres, positive PCR or viral isolation).Dengue Haemorrhagic Fever: A probable or confirmed case of dengue with bleeding tendencies as evidenced by one or more of the following: positive tourniquet test; petechieae, ecchymoses or purpura; bleeding: mucosa, gastrointestinal tract, injection sites or other; haematemesis or melaena; and thrombocytopenia (100 000 cells or less per mm3) and evidence of plasma leakage due to increased vascular permeability, manifested by one or more of the following: 20% rise in average haematocrit for age and sex, 20% drop in haematocrit following volume replacement therapy compared to baseline, signs of plasma leakage (pleural effusion, ascites, hypo-proteinaemia).Dengue Shock Syndrome: All the above criteria, plus evidence of circulatory failure manifested by rapid and weak pulse, and narrow pulse pressure (≤ 20 mm Hg) or hypotension for age, cold, clammy skin and altered mental status.﷐﷐Respond to alert threshold: Dengue Fever﷐If a single case is suspected:Report case-based information immediately to the next level.Conduct active search for additional casesCollect specimens for confirming the cases﷐Respond to action threshold﷐If a single case is confirmed:Report case-based information immediately to the next level and initiate a line list/register of suspected casesConduct active search for additional casesCollect specimens for confirming the cases and ensure results are linked with casesSurvey the community to determine the abundance of vector mosquitoes, identify the most productive larval habitats, promote and implement plans for their elimination, management or treatment with appropriate larvicides.Educate the public and promote behaviours to remove, destroy or manage mosquito vector larval habitats.Manage and provide supportive treatment to dengue fever cases. Implement standard infection control precautions. Prevent access of mosquitoes to patients by using mosquito bed nets.Refer suspected DHF/DSS cases to more advanced facilities.﷐Analyse and interpret Dengue Fever data﷐Time:Graph cases and deaths weekly/monthly. Construct an epidemic curve during the outbreak.Place:Plot location of case households and work sites using precise mapping.Person:Case-fatality rate. Analyse age and sex distribution. Percentage of DHF / DSS cases and of hospitalisations.﷐Laboratory confirmation: Dengue Fever﷐Diagnostic test﷐Demonstration of IgM and IgG by antibody assays.Detection of viral genomic sequences by PCR.Isolation of the dengue virus using cell culture.Antigen detection Assays for acute phase samples when PCR or isolation is negative.Demonstration of dengue virus antigen in autopsy tissue by immunohistochemistry or immunofluorescence or in serum samples by enzyme immunoassays (EIA).Note: there are several diagnostic techniques available to document an infection by the dengue virus. The IgM ELISA is the basic test for serologic diagnosis.﷐Specimen﷐ELISA: Whole blood, serum or plasma from acute (0-5 days) and convalescent 6 or more days) depending on each case.PCR: Whole blood or blood clot, serum/ plasma or tissue preferably from acute specimens (0-5 days)The samples should be collected for diagnosing a suspected dengue fatality:A blood sample to attempt PCR, virus isolation and serology. If an autopsy is performed, blood from the heart should be collected.﷐When to collect the specimen﷐Collect specimen from the first suspected case.If more than one suspected case, collect until specimens have been collected from 5 to10 suspected cases.Type of SpecimenAcute-phase blood (0-5 days after onset of symptoms)Convalescent-phase blood (≥ 6 days after onset)Time of collectionCollect 2nd sample during convalescence. Between days 6 and 21 after onset.Laboratory diagnosis of fatal cases is indispensable for understanding the risk factors for severe cases.﷐Laboratory confirmation: Dengue Fever﷐How to prepare, store, and transport the specimen﷐Transport of specimens should comply with the WHO guidelines for the safe transport of infectious substances and diagnostic specimens.For ELISA or PCR:Refrigerate serum or clot. For long term storage freeze -20oCFreeze (-20C or colder) tissue specimens for virus isolationIf an autopsy has been performed and no fresh tissues are available, tissues fixed in formalin should be submitted for immunohistochemical studies.﷐Results﷐Diagnostic services for Dengue fever and Dengue haemorrhagic fever are not  routinely available. Advance arrangements are usually required for VHF diagnostic services. Contact the appropriate National authority or WHO.﷐Reference﷐      WHO Recommended Surveillance Standards WHO/CDS/CSR/ISR/99.2Dengue: Clinical and Public Health Aspects, CDC"
"Filename: TG Booklet 6, Paragraph(s) Number: 164, Content: Diabetes"
"Filename: TG Booklet 6, Paragraph(s) Number: 165, Content: Background﷐Diabetes mellitus (DM) is a widespread chronic disease that occurs when the pancreas does not produce enough insulin, or when the body cannot effectively use the insulin it produces. Diabetes can cause serious health complications including heart disease, blindness, kidney failure, and lower-extremity amputations.The most common form is Type 2 diabetes that represents more than 85% of the cases. Other forms are less common such as Type 1 (10% of cases), specific diabetes and gestational diabetes (5% of cases).The risk factors that affect the onset of diabetes are well-known. They comprise non-modifiable factors like old age (over 45 years of age), family history, and the causes of diabetes in pregnancy. Modifiable risk factors for diabetes are obesity, physical inactivity and excessive alcohol consumption.The global prevalence in 2000 was estimated at 2.8%, with projections of 4.8% by 2030. The total number of persons affected will rise from 171 million in 2000 to 366 million in 2030 if no action is taken. Annual mortality linked to diabetes worldwide is estimated at more than one million.Diabetes is no longer considered rare in Africa. Recent estimates based on the WHO STEP-wise approach for monitoring the risk factors of non-communicable diseases indicate prevalence of between 1% and 20%. In some countries such as Mauritius, it reaches 20%.The rate of limb amputations due to diabetes varies from 1.4% to 6.7% of diabetic foot cases. In some African countries, the mortality rate is higher than 40 per 10,000 inhabitants.In the African Region, efforts made to create an environment that enhances the fight against diabetes include adoption of resolutions on non-communicable diseases in 2000, cardiovascular diseases strategy in 2005, and diabetes mellitus strategy in 2007. The World Health Organization and the International Diabetes Federation (IDF) have also jointly carried out actions to contribute to promoting diabetes awareness in Africa.﷐Surveillance goal﷐Estimate the magnitude of the diseaseMonitor trends and risk factorsIdentify populations at highest risk (e.g.; age groups, urban vs. rural)Monitor prevention and control program activities"
